Area ID,Area Name,Battle Type,Doll ID,Type,Name,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage,Rank
714,Elementary4,Night,20055,AR,M4A1 Mod,200,1,10,10,Optical,HV Round,Exclusive,8492,743,1
714,Elementary4,Night,183,HG,Contender,90.2473,0,10,0,Auxiliary Sights,AP Round,X-Exo,4860,668,2
714,Elementary4,Night,20065,AR,416 Mod,200,1,10,10,Exclusive,HV Round,Exclusive,7556,661,3
714,Elementary4,Night,20122,AR,Gr G11 Mod,100,0,10,2,Optical,HV Round,Exclusive,7362,644,4
714,Elementary4,Night,20056,AR,M4 SOPMOD II Mod,200,1,10,10,Optical,Exclusive,HV Round,7240,633,5
714,Elementary4,Night,20057,AR,ST AR-15 Mod,200,1,10,10,Optical,Exclusive,Exclusive,6874,601,6
714,Elementary4,Night,20097,HG,M950A Mod,100,0,10,10,Exclusive,HP Round,X-Exo,4377,601,7
714,Elementary4,Night,54,AR,M16A1,100,0,4,0,HV Round,Armor Plate,Exclusive,6488,567,8
714,Elementary4,Night,206,AR,AK-12,150,1,10,0,Holographic,HV Round,Chip,6446,564,9
714,Elementary4,Night,20007,HG,Stechkin Mod,100,0,10,8,Silencer,HP Round,Exclusive,4098,563,10
714,Elementary4,Night,205,AR,AN-94,150,1,10,0,Holographic,HV Round,Chip,6371,557,11
714,Elementary4,Night,213,SMG,C-MS,100,0,10,0,Chip,AP Round,Red Dot,7414,556,12
714,Elementary4,Night,20001,HG,SAA Mod,100,0,10,10,Exclusive,HP Round,T-Exo,3968,545,13
714,Elementary4,Night,20026,SMG,Gr MP5 Mod,150.3842,1,10,10,Exclusive,HP Round,Exclusive,7245,543,14
714,Elementary4,Night,20143,SMG,RO635 Mod,119.8058,1,10,8,Exclusive,HP Round,Red Dot,7095,532,15
714,Elementary4,Night,242,HG,P22,100,0,10,0,Silencer,HP Round,X-Exo,3865,531,16
714,Elementary4,Night,250,HG,HS2000,100,0,10,0,Silencer,HP Round,X-Exo,3783,520,17
714,Elementary4,Night,1027,AR,Angelica,100,0,10,0,Optical,HV Round,Exclusive,5941,519,18
714,Elementary4,Night,10,HG,PPK,95,0,8,0,Exclusive,HP Round,X-Exo,3149,519,19
714,Elementary4,Night,4,HG,Python,90.2473,0,10,0,Silencer,HP Round,T-Exo,3739,514,20
714,Elementary4,Night,73,AR,AUG,150,1,10,0,Optical,HV Round,T-Exo,5867,513,21
714,Elementary4,Night,20060,AR,AS Val Mod,100,0,10,10,Optical,Exclusive,T-Exo,5723,500,22
714,Elementary4,Night,20064,AR,Gr G36 Mod,100,0,8,8,Exclusive,HV Round,T-Exo,5641,493,23
714,Elementary4,Night,20061,AR,StG44 Mod,200,1,8,1,Optical,Exclusive,T-Exo,5629,492,24
