ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
6244,1001,???,Scarecrow,,90,1974219,6919,106081,x1,?????,,1036,1036,10,1,1,3,0,,0,,53,,,Locked
6247,3005,?,Striker,XL,31,36400,700,2900,x5,???,????,441,441,0,0,0,0,0,,0,,53,,,Locked
172274,3001,?,Ripper,S,9,3000,300,400,x5,?,????,424,424,0,0,0,0,0,,0,,50,,,Locked
177032,3008,?,Prowler,XL,9,3000,300,400,x5,?,????,396,396,0,0,0,0,0,,0,,50,,,Locked
181539,3001,?,Ripper,XL,16,9400,500,700,x5,?,????,456,456,0,0,0,0,0,,0,,53,,,Locked
189609,2004,??,Nemeum,XL,90,2013041,45741,67259,x5,?????,????,929,929,0,0,5,5,0,,0,,54,,,Locked
206059,2006,??,Manticore,M,90,2002977,35677,77323,x1,?????,????,1505,1505,0,0,5,5,0,,0,,54,,,Locked
227812,3007,?,Scout,XL,9,3000,300,400,x5,?,????,329,329,0,0,0,0,0,,0,,50,,,Locked
228927,2001,??,Brute,L,1,0,0,100,x5,??,????,327,327,0,0,1,0,0,,0,,50,,,Locked
238786,3003,?,Guard,XL,9,3000,300,400,x5,?,????,586,586,0,0,0,0,0,,0,,50,,,Locked
259848,3003,?,Guard,XL,9,3000,300,400,x5,?,????,586,586,0,0,0,0,0,,0,,50,,,Locked
274236,3008,?,Prowler,XL,9,3000,300,400,x5,?,????,396,396,0,0,0,0,0,,0,,50,,,Locked
295883,3007,?,Scout,XL,9,3000,300,400,x5,?,????,329,329,0,0,0,0,0,,0,,50,,,Locked
319795,2006,??,Manticore,L,1,0,0,100,x1,??,,517,517,0,0,1,0,0,,0,,50,,,Locked
339353,3001,?,Ripper,XL,9,3000,300,400,x5,?,????,435,435,0,0,0,0,0,,0,,50,,,Locked
371500,3002,?,Vespid,L,9,3000,300,400,x5,?,????,396,396,0,0,0,0,0,,0,,50,,,Locked
371520,2005,??,Tarantula,L,90,1968000,700,112300,x5,?????,????,335,335,0,0,5,5,0,,0,,50,,,Locked
