ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
103744508,20029,SMG,????,STEN Mk? Mod,115,10083300,0,0,x5,Mod3,970,970,31,18,82,86,12,0,0,5,4,1,,,STEN Suppressor,100,,,Locked
103824479,11,HG,???,P08,70,730434,0,0,x4,,236,236,27,36,61,49,15,0,0,20,1,0,,,,100,,,Locked
103824578,20094,SMG,????,Type64 Mod,101,3368917,0,0,x5,Mod1,885,885,29,12,72,93,12,0,0,5,1,0,,,,100,,,Locked
103877619,78,MG,????,M60,70,706429,0,0,x4,,616,616,78,21,21,101,4,0,9,5,3,0,,,,100,,,Locked
103962068,27,SMG,???,Skorpion,100,3263300,-,-,x5,,795,795,26,14,88,95,12,0,0,5,5,0,IOP X4 Exoskeleton,ILM Hollow-Point Ammo,EOT 518,100,,,Locked
103965165,105,AR,???,OTs-12,90,1985971,0,0,x5,,500,500,42,53,53,70,10,0,0,20,3,0,,,,100,,,Locked
103969976,14,HG,???,Astra,97,2882362,0,0,x5,,390,390,35,47,70,51,15,0,0,20,8,0,,.357 Jacketed Hollow Point Rounds,,100,,,Locked
104019782,235,RF,????,SPR A3G,72,838978,0,0,x4,,300,300,106,62,23,32,7,0,0,40,1,0,,,,76,,,Locked
104019811,257,RF,?????,M200,100,3263300,-,-,x5,,440,440,153,101,33,34,7,0,0,40,10,0,,,,100,,,Locked
104152423,47,RF,??,G43,36,77416,0,0,x3,,162,162,66,26,13,32,7,0,0,40,1,0,,,,50,,,Locked
104222456,42,RF,????,PTRD,30,46320,0,0,x3,,180,180,85,29,12,21,7,0,0,40,1,0,,,,45,,,Locked
104222483,34,RF,???,M1 Garand,90,1975789,0,0,x5,,420,420,119,60,28,36,7,0,0,40,1,0,,,,100,,,Locked
104226608,20039,RF,?????,Mosin-Nagant Mod,116,13079480,0,0,x5,Mod3,450,450,156,102,46,31,7,0,0,40,9,8,Mk211 High-Explosive Armor-Piercing Ammo,K6-24X56,Hayha Memory Chip,200,Oathed,2020-07-04 09:56,Locked
104226675,89,MG,???,Bren,86,1694300,0,0,x4,,644,644,81,28,25,98,4,0,8,5,1,0,,,,64,,,Locked
104231790,20061,AR,????,StG44 Mod,115,10153050,0,0,x5,Mod3,645,645,67,57,43,66,10,0,0,20,8,1,,7.92 KURZ,,200,Oathed,2021-05-02 10:00,Locked
104231813,69,AR,????,Fr FAMAS,90,1978232,0,0,x5,,575,575,44,47,38,79,10,0,0,20,2,0,,,,100,,,Locked
104231828,58,AR,???,AK-47,90,1977239,0,0,x5,,630,630,53,34,33,63,10,0,0,20,2,0,,,,100,,,Locked
104365240,77,MG,???,M2HB,100,3263300,-,-,x5,,1075,1075,108,19,17,100,4,0,10,5,9,0,,VFL 6-24X56,,100,,,Locked
104368363,20064,AR,?????,Gr G36 Mod,115,10112003,0,0,x5,Mod3,645,645,54,51,47,75,10,0,0,20,8,8,Gr G36 Hybrid Sight,,,100,,,Locked
104368464,172,AR,?????,Am RFB,90,2025204,0,0,x5,,500,500,69,66,48,52,10,0,0,30,10,0,,,,100,,,Locked
104368519,206,AR,?????,AK-12,100,3263300,-,-,x5,,550,550,62,69,58,78,10,0,0,20,10,0,,APCR High-Velocity Ammo,#1 Processor,150,Oathed,2020-05-08 06:15,Locked
104491518,20044,RF,????,SV-98 Mod,115,10083300,0,0,x5,Mod3,430,430,134,84,31,37,7,0,0,40,9,8,,,Digital Camouflage,100,,,Locked
104534071,20012,HG,????,C96 Mod,101,3368917,0,0,x5,Mod1,415,415,33,53,72,63,15,0,0,20,1,0,,,,100,,,Locked
104659104,18,SMG,???,Ingram,70,745890,0,0,x4,,600,600,25,10,53,82,12,0,0,5,1,0,,,,100,,,Locked
104659118,120,AR,???,ARX-160,30,45000,0,0,x3,,192,192,27,19,19,57,10,0,0,20,1,0,,,,50,,,Locked
104660393,6,HG,???,Tokarev,90,1976486,0,0,x5,,410,410,31,46,63,50,15,0,0,20,2,0,,,,100,,,Locked
104662421,20057,AR,?????,ST AR-15 Mod,119,29146770,0,0,x5,Mod3,535,535,57,64,60,78,10,0,0,20,10,10,Lightweight Rail Kit,,.300BLK High-Velocity Ammo,200,Oathed,2020-06-09 19:35,Locked
104716712,8,HG,???,Makarov,100,3263300,-,-,x5,,315,315,28,65,101,61,15,0,0,20,8,0,,,,100,,,Locked
104716727,205,AR,?????,AN-94,100,3263300,-,-,x5,,580,580,61,74,53,76,10,0,0,20,10,0,VFL 6-24X56,APCR High-Velocity Ammo,#2 Processor,150,Oathed,2020-05-08 06:25,Locked
104723982,72,AR,????,TAR-21,90,1976099,0,0,x5,,500,500,49,47,44,77,10,0,0,20,1,0,,,,100,,,Locked
104743073,3,HG,???,M9,90,1977065,0,0,x5,,365,365,29,54,63,59,15,0,0,20,1,0,,,,100,,,Locked
104888153,215,AR,?????,MDR,90,1976700,0,0,x5,,565,565,55,49,40,74,10,0,0,20,1,0,,,,100,,,Locked
104980989,13,HG,???,Type92,30,46280,0,0,x3,,123,123,18,18,32,48,15,0,0,20,1,0,,,,50,,,Locked
105097751,20081,MG,????,LWMMG Mod,115,10148654,0,0,x5,Mod3,885,885,108,29,26,92,4,0,10,5,8,8,,MGO 6X48,,109,Oathed,2021-01-12 10:14,Locked
105255453,20032,SMG,????,Micro Uzi Mod,115,10109661,0,0,x5,Mod3,880,880,27,14,87,104,12,0,0,5,8,9,,,,100,,,Locked
105348130,118,AR,????,9A-91,95,2615858,0,0,x5,,565,565,42,50,51,77,10,0,0,20,5,0,,,,100,,,Locked
105426029,184,RF,????,T-5000,91,2187663,0,0,x5,,430,430,125,82,28,35,7,0,0,40,4,0,,,,100,,,Locked
105494031,80,MG,???,M1919A4,90,1976150,0,0,x5,,865,865,90,24,20,96,4,0,9,5,1,0,,,,50,,,Locked
105507332,54,AR,????,M16A1,100,3263300,-,-,x5,,605,605,50,49,47,75,10,0,0,20,4,0,,Special Warfare Mobile Suit,,100,,,Locked
105611382,162,SG,????,SPAS-12,100,3263300,-,-,x5,,1375,1375,35,12,10,32,6,21,4,40,1,0,Type 3 Armor Plate,,ITI MARS,100,,,Locked
105635985,150,SMG,????,Shipka,70,705000,0,0,x4,,568,568,20,11,59,86,12,0,0,5,1,0,,,,50,,,Locked
105737171,43,RF,????,SVD,30,45840,0,0,x3,,156,156,76,33,14,29,7,0,0,40,1,0,,,,100,,,Locked
105792257,36,RF,????,Springfield,100,3263300,-,-,x5,,420,420,135,76,42,32,7,0,0,40,3,0,National Match-Grade Armor-Piercing Ammo,,,100,,,Locked
105792377,22,SMG,???,PPS-43,92,2265305,0,0,x5,,845,845,34,13,63,72,12,0,0,5,5,0,,,,100,,,Locked
105792390,20060,AR,?????,AS Val Mod,115,10083300,0,0,x5,Mod3,675,675,45,53,53,76,10,0,0,20,10,10,,SP6 Subsonic Ammo,,100,,,Locked
