ID,No.,Type,Star,Name,Doll ID,Doll,Damage,Accuracy,Evasion,Move Speed,Rate of Fire,Crit.Rate,Crit.Damage,Armor Pen.,Armor,Shield,Damage Amplify,Damage Reduction,Night View,Rounds,Equip Exp,Equip Level,Adjust Count,Locked
20330072,4,Optical,?????,VFL 6-24X56,134444021,IWS 2000,0,0,0,0,0,0%,48%,0,0,0,0%,0%,0%,0,10000,10,5,Locked
20482258,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,104226608,Mosin-Nagant Mod,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,11,Locked
20593581,32,High-velocity,?????,APCR High-Velocity Ammo,-,-,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
20593583,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,20,Locked
20593589,72,Hollow-point,?????,ILM Hollow-Point Ammo,141237876,M1911 Mod,13,0,0,0,0,0%,0%,-10,0,0,0%,0%,0%,0,4050,7,5,Locked
20723409,66,Suppressor,?????,AC4 Suppressor,131962141,P22,0,0,9,0,0,0%,18%,0,0,0,0%,0%,0%,0,4051,7,6,Locked
20816208,15,Night Equipment,????,PEQ-15,160936594,GSh-18 Mod,0,0,0,0,0,0%,0%,0,0,0,0%,0%,85%,0,1,0,0,Locked
20816209,15,Night Equipment,????,PEQ-15,106632032,SR-3MP,0,0,0,0,0,0%,0%,0,0,0,0%,0%,85%,0,1,0,0,Locked
20829322,66,Suppressor,?????,AC4 Suppressor,104257373,Thompson,0,0,9,0,0,0%,14%,0,0,0,0%,0%,0%,0,2801,6,2,Locked
20865398,4,Optical,?????,VFL 6-24X56,148296767,Kord,0,0,0,0,0,0%,48%,0,0,0,0%,0%,0%,0,10000,10,4,Locked
20904489,58,X-Exo,?????,IOP X4 Exoskeleton,103962068,Skorpion,0,0,20,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
20968468,71,Hollow-point,????,ILM Hollow-Point Ammo,104632877,Stechkin Mod,6,0,0,0,0,0%,0%,-4,0,0,0%,0%,0%,0,1,0,0,
20968803,16,Night Equipment,?????,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,100%,0,1,0,0,Locked
20968804,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,105331272,Lee Enfield,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,0,Locked
21021459,68,Ammunition Box,?????,IOP Maximum Ammo Box,147761475,M1895 CB,0,0,-3,0,0,0%,0%,0,0,0,0%,0%,0%,5,10000,10,2,Locked
21103723,8,Holographic,?????,EOT 518,103962068,Skorpion,7,12,0,0,-5,0%,0%,0,0,0,0%,0%,0%,0,4301,7,7,Locked
21148735,12,Red Dot,?????,ITI MARS,105917474,M500 Mod,0,30,0,0,-1,0%,0%,0,0,0,0%,0%,0%,0,10000,10,12,Locked
21247863,89,Camouflage Cape,????,Urban Camouflage Cape,-,-,0,0,0,-3,0,14%,0%,0,0,0,0%,0%,0%,0,3200,8,0,Locked
21271604,8,Holographic,?????,EOT 518,138410885,416 Mod,8,14,0,0,-4,0%,0%,0,0,0,0%,0%,0%,0,10000,10,16,Locked
21556322,12,Red Dot,?????,ITI MARS,105611382,SPAS-12,0,23,0,0,-1,0%,0%,0,0,0,0%,0%,0%,0,5650,8,7,Locked
21608619,90,Camouflage Cape,?????,Thermoptic Camouflage Cape,131324596,Carcano M91/38,0,0,0,-3,0,25%,0%,0,0,0,0%,0%,0%,0,10000,10,5,Locked
21651764,80,Slug,?????,SABOT Slug,-,-,0,14,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,800,3,2,Locked
21661957,32,High-velocity,?????,APCR High-Velocity Ammo,125743939,Gr G11 Mod,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
21677048,40,T-Exo,?????,IOP T4 Exoskeleton,131962141,P22,-6,0,35,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,16,Locked
21700159,40,T-Exo,?????,IOP T4 Exoskeleton,150581425,P90,-6,0,35,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
21717183,12,Red Dot,?????,ITI MARS,173218314,LTLX7000,0,25,0,0,-1,0%,0%,0,0,0,0%,0%,0%,0,5100,7,6,Locked
21717186,16,Night Equipment,?????,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,99%,0,0,0,3,Locked
21790836,4,Optical,?????,VFL 6-24X56,163314529,RPK-16,0,0,0,0,0,0%,48%,0,0,0,0%,0%,0%,0,10000,10,9,Locked
21826369,44,Armor Plate,?????,Type 3 Armor Plate,105917474,M500 Mod,0,0,-2,0,0,0%,0%,0,11,0,0%,0%,0%,0,10000,10,2,Locked
21855207,8,Holographic,?????,EOT 518,104365381,FAL,8,14,0,0,-4,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
22057150,59,Exclusive,?????,National Match-Grade Armor-Piercing Ammo,105792257,Springfield,0,0,0,0,10,0%,0%,195,0,0,0%,0%,0%,0,30000,10,36,Locked
22057155,59,Exclusive,?????,National Match-Grade Armor-Piercing Ammo,-,-,0,0,0,0,2,0%,0%,122,0,0,0%,0%,0%,0,0,0,0,Locked
22061998,72,Hollow-point,?????,ILM Hollow-Point Ammo,103962068,Skorpion,12,0,0,0,0,0%,0%,-10,0,0,0%,0%,0%,0,1926,5,1,Locked
22069006,60,Exclusive,?????,.300BLK High-Velocity Ammo,104662421,ST AR-15 Mod,35,0,0,0,-10,0%,0%,0,0,0,0%,0%,0%,0,30000,10,11,Locked
22189222,175,Exclusive,?????,BPR4 & SRM6,-,-,2,0,6,0,0,0%,21%,0,0,0,0%,0%,0%,0,901,1,0,Locked
22262291,16,Night Equipment,?????,PEQ-16A,142879584,Angelica,0,0,0,0,0,0%,0%,0,0,0,0%,0%,97%,0,0,0,6,Locked
22262432,12,Red Dot,?????,ITI MARS,121184520,S.A.T.8,0,27,0,0,-1,0%,0%,0,0,0,0%,0%,0%,0,6200,8,6,Locked
22284611,61,Exclusive,?????,Titan Fire-Control Chip,-,-,-2,0,0,0,-1,0%,0%,0,0,0,0%,0%,0%,5,13400,7,8,Locked
22549335,76,Buckshot,?????,#000 Buckshot,105917474,M500 Mod,10,0,0,0,0,14%,0%,0,0,0,0%,0%,0%,0,1101,3,3,Locked
22643167,155,Exclusive,?????,PPK Suppressor,103744478,PPK,0,0,13,0,0,0%,16%,0,0,0,0%,0%,0%,0,601,1,3,Locked
22687006,72,Hollow-point,?????,ILM Hollow-Point Ammo,108617014,Python,15,0,0,0,0,0%,0%,-10,0,0,0%,0%,0%,0,10000,10,2,Locked
22805796,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,147761475,M1895 CB,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,2,Locked
22898385,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,128710585,QJY-88,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,11,Locked
23118988,117,Exclusive,?????,Glorylight,119274072,El Clear,0,0,0,0,0,0%,0%,0,0,0,0%,0%,100%,0,1,0,0,Locked
23239658,32,High-velocity,?????,APCR High-Velocity Ammo,109376431,OTs-14,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,13,Locked
23247735,118,Exclusive,?????,Black Cat,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,100%,0,1,0,0,Locked
23289580,40,T-Exo,?????,IOP T4 Exoskeleton,117782457,JS 9,-8,0,33,0,0,0%,0%,0,0,0,0%,0%,0%,0,5650,8,2,Locked
23334433,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,122727776,R93,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,14,Locked
23334434,32,High-velocity,?????,APCR High-Velocity Ammo,148107354,ACR,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,5,Locked
23367462,8,Holographic,?????,EOT 518,104244096,Vector,5,9,0,0,-5,0%,0%,0,0,0,0%,0%,0%,0,5751,8,0,Locked
23438640,76,Buckshot,?????,#000 Buckshot,152352956,Super-Shorty,7,0,0,0,0,12%,0%,0,0,0,0%,0%,0%,0,0,0,0,
23452207,66,Suppressor,?????,AC4 Suppressor,134484198,P22,0,0,8,0,0,0%,14%,0,0,0,0%,0%,0%,0,1550,4,1,Locked
23462480,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,107266403,Kar98k,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,11,Locked
23521637,4,Optical,?????,VFL 6-24X56,122727776,R93,0,0,0,0,0,0%,48%,0,0,0,0%,0%,0%,0,10000,10,2,Locked
23526656,68,Ammunition Box,?????,IOP Maximum Ammo Box,148588196,Kord,0,0,-3,0,0,0%,0%,0,0,0,0%,0%,0%,5,10000,10,2,Locked
23526659,68,Ammunition Box,?????,IOP Maximum Ammo Box,105421921,M1918 Mod,0,0,-3,0,0,0%,0%,0,0,0,0%,0%,0%,5,10000,10,2,Locked
23530491,58,X-Exo,?????,IOP X4 Exoskeleton,-,-,0,0,18,0,0,0%,0%,0,0,0,0%,0%,0%,0,5600,8,3,Locked
23644610,66,Suppressor,?????,AC4 Suppressor,-,-,0,0,7,0,0,0%,12%,0,0,0,0%,0%,0%,0,0,0,0,Locked
23680530,15,Night Equipment,????,PEQ-15,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,84%,0,0,0,0,Locked
23691245,8,Holographic,?????,EOT 518,122845441,PP-19 Mod,5,7,0,0,-5,0%,0%,0,0,0,0%,0%,0%,0,900,3,0,Locked
23846002,91,Exclusive,?????,Special Warfare Mobile Suit,105507332,M16A1,0,-20,10,0,-10,0%,0%,0,20,0,0%,0%,0%,0,30000,10,0,Locked
23871626,16,Night Equipment,?????,PEQ-16A,106453497,K2,0,0,0,0,0,0%,0%,0,0,0,0%,0%,94%,0,0,0,0,Locked
23933084,66,Suppressor,?????,AC4 Suppressor,104632877,Stechkin Mod,0,0,8,0,0,0%,17%,0,0,0,0%,0%,0%,0,1225,4,6,Locked
24049217,16,Night Equipment,?????,PEQ-16A,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,95%,0,0,0,10,Locked
24074156,32,High-velocity,?????,APCR High-Velocity Ammo,104368519,AK-12,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,6,Locked
24074157,66,Suppressor,?????,AC4 Suppressor,107388583,RO635 Mod,0,0,8,0,0,0%,13%,0,0,0,0%,0%,0%,0,0,0,3,Locked
24076339,32,High-velocity,?????,APCR High-Velocity Ammo,138410885,416 Mod,20,0,0,0,0,0%,0%,0,0,0,0%,0%,0%,0,10000,10,1,Locked
24121066,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,-,-,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,10,Locked
24146517,62,Exclusive,?????,GSG UX Exoskeleton,105411533,Gr MP5 Mod,-10,0,54,0,0,0%,0%,0,0,0,0%,0%,0%,0,12075,7,11,Locked
24151606,20,Armor-piercing,?????,Mk211 High-Explosive Armor-Piercing Ammo,163314529,RPK-16,0,0,0,0,0,0%,0%,180,0,0,0%,0%,0%,0,10000,10,16,Locked
24174703,15,Night Equipment,????,PEQ-15,-,-,0,0,0,0,0,0%,0%,0,0,0,0%,0%,84%,0,1,0,0,Locked
