Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Predicted Damage (1-Fairy),Predicted Damage (2-Fairy),Predicted Damage (3-Fairy),Predicted Damage (4-Fairy),Rank
714,Elementary4,Day,20055,AR,M4A1 Mod,120,200,1,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),8492,743,891,1040,1188,1
714,Elementary4,Day,20122,AR,Gr G11 Mod,120,200,1,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),8001,700,840,980,1120,2
714,Elementary4,Day,20055,AR,M4A1 Mod,120,100,0,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),7988,698,838,978,1118,3
714,Elementary4,Day,183,HG,Contender,100,150,1,10,0,Auxiliary Sights (5-Star),AP Round (5-Star),X-Exo (5-Star),4964,682,819,955,1092,4
714,Elementary4,Day,183,HG,Contender,100,100,0,10,0,Auxiliary Sights (5-Star),AP Round (5-Star),X-Exo (5-Star),4860,668,801,935,1069,5
714,Elementary4,Day,20065,AR,416 Mod,120,200,1,10,10,Exclusive (5-Star),HV Round (5-Star),Exclusive (5-Star),7594,664,797,930,1063,6
714,Elementary4,Day,20122,AR,Gr G11 Mod,120,100,0,10,10,Optical (5-Star),HV Round (5-Star),Exclusive (5-Star),7550,660,792,924,1057,7
714,Elementary4,Day,20221,HG,GSh-18 Mod,120,200,1,10,10,Auxiliary Sights (5-Star),Exclusive (5-Star),X-Exo (5-Star),4688,644,773,902,1031,8
714,Elementary4,Day,20097,HG,M950A Mod,120,200,1,10,10,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),4650,639,767,895,1023,9
714,Elementary4,Day,20065,AR,416 Mod,120,100,0,10,10,Exclusive (5-Star),HV Round (5-Star),Exclusive (5-Star),7200,630,756,882,1008,10
714,Elementary4,Day,20007,HG,Stechkin Mod,120,200,1,10,10,Auxiliary Sights (5-Star),HP Round (5-Star),Exclusive (5-Star),4462,613,736,858,981,11
714,Elementary4,Day,213,SMG,C-MS,100,150,1,10,0,Chip (5-Star),AP Round (5-Star),Red Dot (5-Star),8162,612,734,857,979,12
714,Elementary4,Day,20221,HG,GSh-18 Mod,120,100,0,10,10,Auxiliary Sights (5-Star),Exclusive (5-Star),X-Exo (5-Star),4445,611,733,855,977,13
714,Elementary4,Day,20097,HG,M950A Mod,120,100,0,10,10,Exclusive (5-Star),HP Round (5-Star),X-Exo (5-Star),4419,607,729,850,972,14
714,Elementary4,Day,330,AR,FX-05,100,150,1,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5768,605,726,847,969,15
714,Elementary4,Day,54,AR,M16A1,100,150,1,10,0,HV Round (5-Star),Armor Plate (5-Star),Exclusive (5-Star),6853,599,719,839,959,16
714,Elementary4,Day,114,HG,Welrod Mk?,100,150,1,10,0,Silencer (5-Star),HP Round (5-Star),Exclusive (5-Star),4354,598,718,838,957,17
714,Elementary4,Day,20012,HG,C96 Mod,120,200,1,10,10,Exclusive (5-Star),HP Round (5-Star),T-Exo (5-Star),4347,597,717,836,956,18
714,Elementary4,Day,213,SMG,C-MS,100,100,0,10,0,Chip (5-Star),AP Round (5-Star),Red Dot (5-Star),7951,596,715,834,954,19
714,Elementary4,Day,115,SMG,Suomi,100,150,1,10,0,Exclusive (5-Star),HP Round (5-Star),Red Dot (5-Star),6597,593,712,831,949,20
714,Elementary4,Day,330,AR,FX-05,100,100,0,10,0,Holographic (5-Star),HV Round (5-Star),Chip (5-Star),5598,587,705,822,940,21
714,Elementary4,Day,114,HG,Welrod Mk?,100,100,0,10,0,Silencer (5-Star),HP Round (5-Star),Exclusive (5-Star),4257,585,702,819,936,22
714,Elementary4,Day,20007,HG,Stechkin Mod,120,100,0,10,10,Auxiliary Sights (5-Star),HP Round (5-Star),Exclusive (5-Star),4246,583,700,817,934,23
714,Elementary4,Day,54,AR,M16A1,100,100,0,10,0,HV Round (5-Star),Armor Plate (5-Star),Exclusive (5-Star),6668,583,700,816,933,24
714,Elementary4,Day,115,SMG,Suomi,100,100,0,10,0,Exclusive (5-Star),HP Round (5-Star),Red Dot (5-Star),6462,581,697,814,930,25
714,Elementary4,Day,20001,HG,SAA Mod,120,200,1,10,10,Exclusive (5-Star),HP Round (5-Star),T-Exo (5-Star),4220,580,696,812,928,26
