?? ??,?? ??
40155,prize-10040155
811,Parts*200
808,Rations*200
839,Battery*20
818,Enhancement Capsule*4
816,Enhancement Capsule*2
878,Memory Fragment*10
802,Manpower*200
919,Original Sample
830,Intermediate Training Data*20
820,Dummy Core*2
827,Basic Training Data*20
816,Enhancement Capsule*2
801,Manpower*100
841,Battery*40
839,Battery*20
806,Ammo*300
919,Original Sample
804,Ammo*100
813,Token*2
824,Quick Production*1
839,Battery*20
817,Enhancement Capsule*3
807,Rations*100
879,Memory Fragment*20
805,Ammo*200
819,Dummy Core*1
816,Enhancement Capsule*2
828,Basic Training Data*30
804,Ammo*100
839,Battery*20
920,Pure Sample
809,Rations*300
830,Intermediate Training Data*20
879,Memory Fragment*20
811,Parts*200
828,Basic Training Data*30
920,Pure Sample
816,Enhancement Capsule*2
805,Ammo*200
829,Basic Training Data*40
801,Manpower*100
819,Dummy Core*1
40154,prize-10040154
811,Parts*200
807,Rations*100
880,Memory Fragment*30
805,Ammo*200
827,Basic Training Data*20
805,Ammo*200
814,Token*3
827,Basic Training Data*20
822,T-Doll Contract*1
818,Enhancement Capsule*4
828,Basic Training Data*30
839,Battery*20
812,Parts*300
813,Token*2
805,Ammo*200
816,Enhancement Capsule*2
808,Rations*200
807,Rations*100
807,Rations*100
920,Pure Sample
805,Ammo*200
825,Quick Repair*1
878,Memory Fragment*10
807,Rations*100
836,Calibration Ticket*10
807,Rations*100
804,Ammo*100
801,Manpower*100
807,Rations*100
807,Rations*100
836,Calibration Ticket*10
828,Basic Training Data*30
830,Intermediate Training Data*20
830,Intermediate Training Data*20
818,Enhancement Capsule*4
804,Ammo*100
811,Parts*200
811,Parts*200
830,Intermediate Training Data*20
806,Ammo*300
807,Rations*100
825,Quick Repair*1
879,Memory Fragment*20
805,Ammo*200
830,Intermediate Training Data*20
839,Battery*20
831,Intermediate Training Data*30
816,Enhancement Capsule*2
810,Parts*100
807,Rations*100
805,Ammo*200
878,Memory Fragment*10
831,Intermediate Training Data*30
824,Quick Production*1
808,Rations*200
825,Quick Repair*1
