ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
24683,1001,???,Scarecrow,,100,3255500,-,-,x1,?????,,1091,1091,10,10,5,5,3004,Defend,3005,Strength in Numbers,100,,,Locked
46832,3004,?,Jaeger,L,1,0,0,100,x5,?,????,267,267,0,0,0,0,0,,0,,50,,,Locked
119652,3002,?,Vespid,XL,1,0,0,100,x5,?,????,376,376,0,0,0,0,0,,0,,50,,,Locked
161843,2002,??,Dragoon,XS,1,0,0,100,x5,??,????,559,559,0,0,1,0,0,,0,,50,,,Locked
195163,2004,??,Nemeum,M,100,3255500,-,-,x5,?????,????,947,947,0,0,5,5,0,,0,,100,,,Locked
198440,2001,??,Brute,M,1,0,0,100,x5,??,????,324,324,0,0,1,0,0,,0,,100,,,Locked
198640,1003,???,Hunter,,100,3255500,-,-,x1,?????,,1147,901,10,10,5,5,1004,Ample Fuel,1003,Phantom Stance,100,,,Locked
254479,2006,??,Manticore,L,100,3255500,-,-,x1,?????,????,1589,1042,0,0,5,5,0,,0,,100,,,Locked
270329,3003,?,Guard,XL,1,0,0,100,x5,?,????,553,553,0,0,0,0,0,,0,,50,,,Locked
339440,3006,?,Dinergate,L,1,0,0,100,x5,?,????,158,158,0,0,0,0,0,,0,,50,,,Locked
339507,3002,?,Vespid,XL,1,0,0,100,x5,?,????,376,376,0,0,0,0,0,,0,,50,,,Locked
349791,3005,?,Striker,XL,100,3255500,-,-,x5,?????,????,733,733,0,0,0,5,0,,0,,100,,,Locked
404767,2005,??,Tarantula,L,100,3255500,-,-,x5,?????,????,352,352,0,0,5,5,0,,0,,100,,,Locked
414285,3008,?,Prowler,XL,1,0,0,100,x5,?,????,374,374,0,0,0,0,0,,0,,50,,,Locked
414286,2004,??,Nemeum,L,100,3255500,-,-,x5,?????,????,965,288,0,0,5,5,0,,0,,100,,,Locked
427695,3006,?,Dinergate,XL,1,0,0,100,x5,?,????,159,159,0,0,0,0,0,,0,,50,,,Locked
480020,3005,?,Striker,XL,100,3255500,-,-,x5,?????,????,733,733,0,0,0,1,0,,0,,100,,,Locked
480063,3001,?,Ripper,M,1,0,0,100,x5,?,????,405,405,0,0,0,0,0,,0,,50,,,Locked
480095,2008,??,Guard_SWAP,M,1,0,0,100,x5,??,????,629,629,0,0,1,0,0,,0,,100,,,Locked
501476,1005,???,Destroyer,,100,3255500,-,-,x1,?????,,1263,1263,10,10,5,5,0,,0,,100,,,Locked
501493,2006,??,Manticore,L,100,3255500,-,-,x1,?????,????,1589,1401,0,0,5,5,0,,0,,100,,,Locked
501500,3007,?,Scout,XL,1,0,0,100,x5,?,????,311,311,0,0,0,0,0,,0,,50,,,Locked
722091,3004,?,Jaeger,XL,100,3255500,-,-,x5,?????,????,598,598,0,0,0,5,0,,0,,100,,,Locked
753408,3005,?,Striker,XL,1,0,0,100,x5,?,????,327,327,0,0,0,0,0,,0,,50,,,Locked
835306,3004,?,Jaeger,XS,100,3255500,-,-,x5,?????,????,561,336,0,0,0,5,0,,0,,100,,,Locked
842905,2010,??,Vespid_SWAP,M,100,3255500,-,-,x5,?????,????,902,902,0,0,5,5,0,,0,,100,,,Locked
859604,3001,?,Ripper,XL,1,0,0,100,x5,?,????,411,411,0,0,0,0,0,,0,,50,,,Locked
878129,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,
878146,2011,??,Prowler_SWAP,M,1,0,0,100,x5,??,????,451,451,0,0,1,0,0,,0,,65,,,Locked
891230,3009,?,Jaguar,XL,1,0,0,100,x5,?,????,237,237,0,0,0,0,0,,0,,50,,,Locked
891263,2009,??,Ripper SWAP,M,100,3255500,-,-,x5,?????,????,1070,598,0,0,1,1,0,,0,,100,,,Locked
891272,3002,?,Vespid,XS,1,0,0,100,x5,?,????,366,366,0,0,0,0,0,,0,,50,,,Locked
907882,2004,??,Nemeum,L,1,0,0,100,x5,??,????,459,459,0,0,1,0,0,,0,,50,,,Locked
907884,1008,???,Alchemist,,100,3255500,-,-,x1,?????,????,1205,1205,10,10,5,5,3003,Lone Wolf,3001,Weaken,150,Oathed,2022-03-31 11:06,Locked
907901,3009,?,Jaguar,XL,100,3255500,-,-,x5,?????,????,516,153,0,0,0,1,0,,0,,79,,,Locked
932859,2005,??,Tarantula,M,100,3255500,-,-,x5,?????,????,346,346,0,0,5,5,0,,0,,100,,,Locked
932880,3008,?,Prowler,XS,1,0,0,100,x5,?,????,364,364,0,0,0,0,0,,0,,50,,,Locked
932888,3008,?,Prowler,XL,1,0,0,100,x5,?,????,374,374,0,0,0,0,0,,0,,50,,,Locked
950866,3006,?,Dinergate,XS,1,0,0,100,x5,?,????,155,155,0,0,0,0,0,,0,,50,,,Locked
951872,3003,?,Guard,XS,1,0,0,100,x5,?,????,538,538,0,0,0,0,0,,0,,50,,,Locked
951910,2006,??,Manticore,L,100,3255500,-,-,x1,?????,????,1589,1589,0,0,5,5,0,,0,,70,,,Locked
986431,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,
986478,2004,??,Nemeum,XL,100,3255500,-,-,x5,?????,????,976,806,0,0,5,5,0,,0,,100,,,Locked
986479,2008,??,Guard_SWAP,L,1,0,0,100,x5,??,????,634,634,0,0,1,0,0,,0,,50,,,Locked
986482,3007,?,Scout,XS,1,0,0,100,x5,?,????,303,303,0,0,0,0,0,,0,,50,,,Locked
1026105,1009,???,Dreamer,,100,3255500,-,-,x1,?????,,1091,1091,10,10,5,5,0,,0,,100,,,Locked
1224616,1002,???,Executioner,,1,0,0,100,x1,???,,559,559,1,1,1,0,0,,0,,50,,,Locked
1365158,3010,?,Goliath Factory,XL,1,0,0,100,x1,?,????,836,836,0,0,0,0,0,,0,,50,,,Locked
1381222,3010,?,Goliath Factory,XL,100,3255500,-,-,x1,?????,????,1476,1476,0,0,0,5,0,,0,,79,,,Locked
1384393,2011,??,Prowler_SWAP,L,1,0,0,100,x5,??,????,455,455,0,0,1,0,0,,0,,50,,,Locked
1384499,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1384504,3004,?,Jaeger,XS,1,0,0,100,x5,?,????,262,262,0,0,0,0,0,,0,,50,,,Locked
1419556,1011,???,Judge,,100,3255500,-,-,x1,?????,,1326,1326,10,10,5,5,0,,0,,50,,,Locked
1426459,2013,??,Striker_SWAP,XL,1,0,0,100,x5,??,????,435,435,0,0,1,0,0,,0,,50,,,Locked
1438117,3010,?,Goliath Factory,L,1,0,0,100,x1,?,????,833,833,0,0,0,0,0,,0,,50,,,Locked
1454654,2010,??,Vespid_SWAP,L,1,0,0,100,x5,??,????,430,430,0,0,1,0,0,,0,,50,,,Locked
1513962,3008,?,Prowler,L,1,0,0,100,x5,?,????,372,372,0,0,0,0,0,,0,,50,,,Locked
1514166,2013,??,Striker_SWAP,XL,1,0,0,100,x5,??,????,435,435,0,0,1,0,0,,0,,50,,,Locked
1514174,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1514175,2009,??,Ripper SWAP,L,1,0,0,100,x5,??,????,499,499,0,0,1,0,0,,0,,50,,,Locked
1514181,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1514190,3010,?,Goliath Factory,XL,100,3255500,-,-,x1,?????,????,1476,1476,0,0,0,5,0,,0,,100,,,Locked
1514191,2012,??,Dragoon_SWAP,XL,100,3255500,-,-,x5,?????,????,1304,1304,0,0,1,1,0,,0,,50,,,Locked
1514199,2014,??,Aegis_SWAP,L,100,3255500,-,-,x5,?????,????,1718,1718,0,0,5,5,0,,0,,50,,,Locked
1514202,3010,?,Goliath Factory,XL,1,0,0,100,x1,?,????,836,836,0,0,0,0,0,,0,,50,,,Locked
1514304,3006,?,Dinergate,XL,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1514307,1012,???,Agent,,100,3255500,-,-,x1,?????,????,1320,1320,10,10,5,5,1002,Night Vision,1001,Night Vision,150,Oathed,2022-05-21 10:13,Locked
1575612,3006,?,Dinergate,XL,1,0,0,100,x5,?,????,159,159,0,0,0,0,0,,0,,50,,,Locked
1599092,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1599123,2006,??,Manticore,L,100,3255500,-,-,x1,?????,????,1589,1589,0,0,5,5,0,,0,,57,,,Locked
1599133,2002,??,Dragoon,XL,1,0,0,100,x5,??,????,576,576,0,0,1,0,0,,0,,50,,,Locked
1599150,2008,??,Guard_SWAP,L,1,0,0,100,x5,??,????,634,634,0,0,1,0,0,,0,,50,,,Locked
1599158,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1599174,2005,??,Tarantula,L,100,3255500,-,-,x5,?????,????,352,352,0,0,1,1,0,,0,,52,,,Locked
1599185,2014,??,Aegis_SWAP,L,1,0,0,100,x5,??,????,791,791,0,0,1,0,0,,0,,50,,,Locked
1599187,2006,??,Manticore,L,100,3255500,-,-,x1,?????,????,1589,108,0,0,5,5,0,,0,,94,,,Locked
1599220,3009,?,Jaguar,XS,1,0,0,100,x5,?,????,231,231,0,0,0,0,0,,0,,50,,,Locked
1599224,2014,??,Aegis_SWAP,L,1,0,0,100,x5,??,????,791,791,0,0,1,0,0,,0,,50,,,Locked
1599230,3006,?,Dinergate,XL,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1599241,2003,??,Aegis,XL,1,0,0,100,x5,??,????,618,618,0,0,1,0,0,,0,,65,,,Locked
1599260,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1614078,2011,??,Prowler_SWAP,XL,1,0,0,100,x5,??,????,458,458,0,0,1,0,0,,0,,50,,,Locked
1663263,2006,??,Manticore,L,1,0,0,100,x1,??,,517,517,0,0,1,0,0,,0,,50,,,
1663265,2004,??,Nemeum,L,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1687456,3006,?,Dinergate,M,1,0,0,100,x5,?,????,157,157,0,0,0,0,0,,0,,50,,,
1788503,3010,?,Goliath Factory,XS,1,0,0,100,x1,?,????,822,822,0,0,0,0,0,,0,,50,,,Locked
1898960,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1898970,2005,??,Tarantula,S,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,
1898974,2004,??,Nemeum,M,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1898991,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1898996,2006,??,Manticore,L,1,0,0,100,x1,??,????,917,917,0,0,1,0,0,,0,,50,,,Locked
1899014,2004,??,Nemeum,L,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1899037,1014,???,Alina,,100,3255500,-,-,x1,?????,,1074,1074,10,9,1,1,0,,0,,50,,,Locked
1917897,1015,???,Architect - NVW Model,,100,3255500,-,-,x1,?????,????,1378,1378,10,10,5,5,3006,Support,3002,Fighting Spirit,150,Oathed,2022-07-26 11:00,Locked
1917996,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,
1918052,2006,??,Manticore,M,1,0,0,100,x1,??,,512,512,0,0,1,0,0,,0,,50,,,
1918089,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1918092,2014,??,Aegis_SWAP,XL,100,3255500,-,-,x5,?????,????,1740,1740,0,0,5,5,0,,0,,50,,,Locked
1918158,2011,??,Prowler_SWAP,L,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1918165,3001,?,Ripper,XS,1,0,0,100,x5,?,????,400,400,0,0,0,0,0,,0,,50,,,Locked
1918166,2006,??,Manticore,M,1,0,0,100,x1,??,,512,512,0,0,1,0,0,,0,,50,,,
1918171,2010,??,Vespid_SWAP,M,1,0,0,100,x1,??,,86,86,0,0,1,0,0,,0,,50,,,
1918266,2010,??,Vespid_SWAP,L,1,0,0,100,x1,??,,86,86,0,0,1,0,0,,0,,50,,,
1918274,2005,??,Tarantula,XS,1,0,0,100,x5,??,????,163,163,0,0,1,0,0,,0,,50,,,Locked
1918279,3006,?,Dinergate,XL,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1918284,2006,??,Manticore,L,1,0,0,100,x1,??,,517,517,0,0,1,0,0,,0,,50,,,
1918297,3010,?,Goliath Factory,XL,1,0,0,100,x1,?,????,836,836,0,0,0,0,0,,0,,50,,,
1918301,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1918472,3001,?,Ripper,L,1,0,0,100,x1,?,,82,82,0,0,0,0,0,,0,,50,,,
1918486,2006,??,Manticore,M,1,0,0,100,x1,??,,512,512,0,0,1,0,0,,0,,50,,,
1918599,3001,?,Ripper,XL,1,0,0,100,x1,?,,83,83,0,0,0,0,0,,0,,50,,,
1918623,3006,?,Dinergate,L,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1918629,2004,??,Nemeum,L,100,3255500,-,-,x5,?????,????,965,941,0,0,5,5,0,,0,,100,,,
1918637,3010,?,Goliath Factory,XL,1,0,0,100,x1,?,????,836,836,0,0,0,0,0,,0,,50,,,Locked
1918641,2010,??,Vespid_SWAP,M,1,0,0,100,x1,??,,86,86,0,0,1,0,0,,0,,50,,,
1918642,2014,??,Aegis_SWAP,M,1,0,0,100,x1,??,,157,157,0,0,1,0,0,,0,,50,,,
1918679,2010,??,Vespid_SWAP,S,1,0,0,100,x1,??,,85,85,0,0,1,0,0,,0,,50,,,
1918684,3001,?,Ripper,L,1,0,0,100,x1,?,,82,82,0,0,0,0,0,,0,,50,,,
1918685,3007,?,Scout,M,1,0,0,100,x1,?,,62,62,0,0,0,0,0,,0,,50,,,
1918687,3006,?,Dinergate,M,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1918703,2005,??,Tarantula,M,1,0,0,100,x1,??,,33,33,0,0,1,0,0,,0,,50,,,
1918704,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1918708,2006,??,Manticore,M,1,0,0,100,x1,??,,512,512,0,0,1,0,0,,0,,50,,,
1918709,3007,?,Scout,L,1,0,0,100,x1,?,,62,62,0,0,0,0,0,,0,,50,,,
1918711,2004,??,Nemeum,L,1,0,0,100,x1,??,,92,92,0,0,1,0,0,,0,,50,,,
1918712,2011,??,Prowler_SWAP,M,1,0,0,100,x1,??,,91,91,0,0,1,0,0,,0,,50,,,
1918730,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1918731,3002,?,Vespid,S,1,0,0,100,x1,?,,74,74,0,0,0,0,0,,0,,50,,,
1918737,3010,?,Goliath Factory,L,1,0,0,100,x1,?,,633,633,0,0,0,0,0,,0,,50,,,
1918759,3010,?,Goliath Factory,M,1,0,0,100,x1,?,,629,629,0,0,0,0,0,,0,,50,,,
1918769,3003,?,Guard,M,1,0,0,100,x1,?,,110,110,0,0,0,0,0,,0,,50,,,
1918773,3007,?,Scout,S,1,0,0,100,x1,?,,61,61,0,0,0,0,0,,0,,50,,,
1936809,3010,?,Goliath Factory,M,1,0,0,100,x1,?,,629,629,0,0,0,0,0,,0,,50,,,
1936810,3007,?,Scout,M,1,0,0,100,x1,?,,62,62,0,0,0,0,0,,0,,50,,,
1936811,3006,?,Dinergate,M,1,0,0,100,x1,?,,32,32,0,0,0,0,0,,0,,50,,,
1936813,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
1942633,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1942634,3009,?,Jaguar,M,1,0,0,100,x1,?,,47,47,0,0,0,0,0,,0,,50,,,
1957756,3003,?,Guard,L,1,0,0,100,x1,?,,110,110,0,0,0,0,0,,0,,50,,,
1957757,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1957758,3010,?,Goliath Factory,M,1,0,0,100,x1,?,,629,629,0,0,0,0,0,,0,,50,,,
1957760,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1965526,3004,?,Jaeger,L,1,0,0,100,x1,?,,54,54,0,0,0,0,0,,0,,50,,,
1965529,3001,?,Ripper,M,1,0,0,100,x1,?,,81,81,0,0,0,0,0,,0,,50,,,
1965530,3007,?,Scout,M,1,0,0,100,x1,?,,62,62,0,0,0,0,0,,0,,50,,,
1971834,3010,?,Goliath Factory,M,1,0,0,100,x1,?,,629,629,0,0,0,0,0,,0,,50,,,
